County,TXST,UT Austin,Texas A&M,Texas Tech,Stephen F. Austin,UTSA,UNT,UH,Total,TXST_Share
ANDREWS,5.0,0.0,5.0,53.0,0.0,0.0,0.0,0.0,63.0,7.936507936507936
ANGELINA,50.0,37.0,157.0,11.0,505.0,0.0,0.0,8.0,768.0,6.510416666666667
ARANSAS,34.0,0.0,29.0,0.0,5.0,29.0,0.0,0.0,97.0,35.051546391752574
ATASCOSA,43.0,0.0,57.0,41.0,0.0,103.0,0.0,0.0,244.0,17.62295081967213
AUSTIN,41.0,0.0,130.0,11.0,0.0,7.0,0.0,0.0,189.0,21.693121693121693
BANDERA,23.0,0.0,12.0,12.0,0.0,22.0,0.0,0.0,69.0,33.33333333333333
BASTROP,365.0,167.0,165.0,24.0,0.0,50.0,10.0,5.0,786.0,46.43765903307888
BEE,12.0,0.0,29.0,0.0,0.0,7.0,0.0,0.0,48.0,25.0
BELL,546.0,330.0,527.0,203.0,65.0,345.0,210.0,74.0,2300.0,23.73913043478261
BEXAR,2601.0,2290.0,2224.0,1293.0,20.0,9126.0,461.0,285.0,18300.0,14.21311475409836
BLANCO,52.0,0.0,16.0,6.0,0.0,0.0,0.0,0.0,74.0,70.27027027027027
BOWIE,10.0,30.0,22.0,5.0,19.0,0.0,40.0,0.0,126.0,7.936507936507936
BRAZORIA,577.0,511.0,967.0,172.0,177.0,292.0,119.0,1370.0,4185.0,13.787335722819593
BRAZOS,117.0,172.0,1212.0,29.0,41.0,31.0,56.0,11.0,1669.0,7.010185739964051
BREWSTER,9.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,25.0,36.0
BROWN,16.0,0.0,41.0,21.0,0.0,0.0,0.0,0.0,78.0,20.51282051282051
BURNET,62.0,49.0,96.0,69.0,0.0,36.0,5.0,0.0,317.0,19.558359621451103
CALDWELL,185.0,39.0,39.0,0.0,0.0,28.0,0.0,0.0,291.0,63.57388316151202
CALHOUN,23.0,15.0,41.0,0.0,0.0,0.0,0.0,0.0,79.0,29.11392405063291
CAMERON,537.0,822.0,715.0,69.0,0.0,955.0,57.0,109.0,3264.0,16.452205882352942
CASS,6.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,16.0,37.5
CHAMBERS,75.0,30.0,101.0,26.0,26.0,7.0,0.0,17.0,282.0,26.595744680851062
COLLIN,969.0,3054.0,3219.0,2713.0,464.0,125.0,3253.0,332.0,14129.0,6.858234836152594
COLORADO,21.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,51.0,41.17647058823529
COMAL,1136.0,282.0,632.0,429.0,5.0,534.0,70.0,22.0,3110.0,36.52733118971061
CORYELL,103.0,27.0,77.0,11.0,6.0,60.0,15.0,0.0,299.0,34.448160535117054
DALLAS,1021.0,2854.0,2181.0,1483.0,475.0,154.0,5714.0,561.0,14443.0,7.069168455307069
DENTON,448.0,945.0,1427.0,1401.0,218.0,58.0,3551.0,141.0,8189.0,5.470753449749664
DEWITT,52.0,0.0,35.0,0.0,0.0,18.0,0.0,0.0,105.0,49.523809523809526
DIMMIT,17.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,56.0,30.357142857142854
ECTOR,67.0,87.0,57.0,246.0,0.0,86.0,52.0,0.0,595.0,11.260504201680673
EL PASO,342.0,782.0,320.0,803.0,0.0,363.0,127.0,17.0,2754.0,12.418300653594772
ELLIS,222.0,131.0,258.0,298.0,67.0,7.0,348.0,5.0,1336.0,16.61676646706587
ERATH,36.0,5.0,19.0,76.0,0.0,0.0,17.0,5.0,158.0,22.78481012658228
FAYETTE,15.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,87.0,17.24137931034483
FORT BEND,699.0,783.0,1047.0,244.0,117.0,464.0,138.0,1909.0,5401.0,12.94204776893168
FORT BEND COU,544.0,794.0,943.0,294.0,108.0,442.0,129.0,2071.0,5325.0,10.215962441314554
FRIO,9.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,21.0,42.857142857142854
GAINES,5.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,39.0,12.82051282051282
GALVESTON,409.0,377.0,636.0,178.0,103.0,134.0,67.0,626.0,2530.0,16.16600790513834
GALVESTON COU,373.0,409.0,601.0,214.0,70.0,126.0,106.0,640.0,2539.0,14.690823158723907
GILLESPIE,24.0,5.0,42.0,38.0,0.0,15.0,0.0,0.0,124.0,19.35483870967742
GILLESPIE COU,27.0,16.0,30.0,20.0,0.0,5.0,5.0,0.0,103.0,26.21359223300971
GOLIAD,20.0,0.0,17.0,0.0,0.0,5.0,0.0,0.0,42.0,47.61904761904761
GONZALES,66.0,6.0,35.0,0.0,0.0,31.0,0.0,0.0,138.0,47.82608695652174
GRAYSON,40.0,6.0,71.0,76.0,0.0,0.0,84.0,0.0,277.0,14.440433212996389
GREGG,19.0,41.0,138.0,19.0,123.0,0.0,58.0,0.0,398.0,4.773869346733668
GUADALUPE,393.0,60.0,142.0,81.0,5.0,247.0,20.0,28.0,976.0,40.26639344262295
GUADALUPE COU,383.0,80.0,161.0,83.0,0.0,204.0,18.0,11.0,940.0,40.74468085106383
HARDIN,67.0,5.0,88.0,8.0,38.0,0.0,0.0,10.0,216.0,31.01851851851852
HARRIS,5386.0,6616.0,7908.0,2462.0,1572.0,2641.0,1081.0,13131.0,40797.0,13.201951123857148
HARRISON,29.0,42.0,83.0,24.0,122.0,0.0,60.0,17.0,377.0,7.6923076923076925
HAYS,1466.0,396.0,426.0,254.0,5.0,258.0,93.0,10.0,2908.0,50.41265474552957
HENDERSON COU,19.0,0.0,12.0,5.0,6.0,0.0,7.0,0.0,49.0,38.775510204081634
HIDALGO,928.0,1288.0,1602.0,140.0,5.0,1515.0,43.0,123.0,5644.0,16.44223954642098
HILL,6.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,21.0,28.57142857142857
HOOD,48.0,13.0,76.0,97.0,0.0,0.0,35.0,0.0,269.0,17.843866171003718
HUNT,6.0,5.0,6.0,18.0,11.0,0.0,90.0,0.0,136.0,4.411764705882353
JACKSON,12.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,36.0,33.33333333333333
JASPER,10.0,0.0,17.0,0.0,68.0,0.0,8.0,0.0,103.0,9.70873786407767
JEFFERSON,75.0,55.0,101.0,0.0,30.0,0.0,0.0,61.0,322.0,23.29192546583851
JEFFERSON COU,74.0,53.0,113.0,0.0,28.0,5.0,19.0,60.0,352.0,21.022727272727273
JIM WELLS,12.0,0.0,10.0,0.0,0.0,35.0,0.0,0.0,57.0,21.052631578947366
JIM WELLS COU,16.0,7.0,20.0,0.0,0.0,32.0,0.0,0.0,75.0,21.333333333333336
JOHNSON,108.0,55.0,202.0,223.0,20.0,0.0,288.0,0.0,896.0,12.053571428571429
KARNES,19.0,0.0,11.0,0.0,0.0,9.0,0.0,0.0,39.0,48.717948717948715
KAUFMAN,94.0,58.0,216.0,135.0,116.0,5.0,275.0,7.0,906.0,10.375275938189846
KENDALL,197.0,122.0,319.0,270.0,0.0,300.0,19.0,5.0,1232.0,15.990259740259742
KERR,84.0,44.0,73.0,62.0,0.0,58.0,7.0,0.0,328.0,25.609756097560975
KLEBERG,13.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,23.0,56.52173913043478
LAMAR,5.0,0.0,40.0,0.0,6.0,0.0,23.0,0.0,74.0,6.756756756756757
LAMPASAS,48.0,13.0,48.0,21.0,0.0,11.0,7.0,0.0,148.0,32.432432432432435
LAVACA,40.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,94.0,42.5531914893617
LEE,6.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,75.0,8.0
LIBERTY,20.0,0.0,59.0,0.0,33.0,0.0,0.0,37.0,149.0,13.422818791946309
LIMESTONE,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,11.0,45.45454545454545
LIMESTONE COU,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0
LIVE OAK,6.0,0.0,12.0,5.0,0.0,7.0,0.0,0.0,30.0,20.0
LLANO,21.0,0.0,37.0,20.0,0.0,0.0,0.0,0.0,78.0,26.923076923076923
LUBBOCK,86.0,99.0,92.0,2585.0,0.0,5.0,92.0,7.0,2966.0,2.8995279838165877
MASON,5.0,0.0,10.0,35.0,0.0,0.0,0.0,0.0,50.0,10.0
MATAGORDA,19.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,25.0,76.0
MATAGORDA COU,6.0,5.0,22.0,0.0,0.0,5.0,0.0,0.0,38.0,15.789473684210526
MAVERICK,132.0,212.0,61.0,45.0,0.0,345.0,0.0,0.0,795.0,16.60377358490566
MCLENNAN,151.0,197.0,366.0,152.0,7.0,10.0,263.0,7.0,1153.0,13.096270598438856
MEDINA,91.0,21.0,110.0,71.0,0.0,219.0,0.0,0.0,512.0,17.7734375
MIDLAND,68.0,88.0,146.0,407.0,0.0,21.0,45.0,0.0,775.0,8.774193548387096
MILAM,5.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,43.0,11.627906976744185
MONTGOMERY,542.0,434.0,1021.0,284.0,196.0,117.0,106.0,281.0,2981.0,18.181818181818183
MONTGOMERY CO,435.0,436.0,869.0,284.0,133.0,155.0,104.0,295.0,2711.0,16.045739579490963
MORRIS,5.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,14.0,35.714285714285715
NACOGDOCHES,11.0,8.0,31.0,0.0,338.0,0.0,5.0,0.0,393.0,2.7989821882951653
NAVARRO,10.0,26.0,38.0,0.0,0.0,0.0,27.0,0.0,101.0,9.900990099009901
NUECES,319.0,348.0,436.0,88.0,0.0,544.0,24.0,62.0,1821.0,17.517847336628225
ORANGE,35.0,10.0,60.0,0.0,18.0,0.0,0.0,0.0,123.0,28.455284552845526
PARKER,58.0,78.0,235.0,300.0,12.0,0.0,114.0,0.0,797.0,7.277289836888332
POLK,5.0,11.0,49.0,0.0,53.0,0.0,0.0,0.0,118.0,4.23728813559322
POTTER,14.0,107.0,107.0,381.0,0.0,0.0,51.0,0.0,660.0,2.1212121212121215
RANDALL,13.0,13.0,36.0,218.0,0.0,0.0,18.0,0.0,298.0,4.3624161073825505
REEVES,5.0,0.0,0.0,32.0,0.0,5.0,0.0,0.0,42.0,11.904761904761903
ROCKWALL,130.0,145.0,288.0,370.0,131.0,11.0,307.0,0.0,1382.0,9.406657018813313
SAN PATRICIO,85.0,0.0,58.0,7.0,0.0,73.0,0.0,0.0,223.0,38.11659192825112
SCURRY,14.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,70.0,20.0
SMITH,21.0,94.0,224.0,79.0,139.0,0.0,70.0,0.0,627.0,3.349282296650718
SOMERVELL COU,5.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,24.0,20.833333333333336
STARR,19.0,88.0,66.0,0.0,0.0,134.0,0.0,0.0,307.0,6.188925081433225
SUTTON,5.0,0.0,0.0,13.0,0.0,6.0,0.0,0.0,24.0,20.833333333333336
TARRANT,1081.0,2008.0,2293.0,1943.0,379.0,121.0,4853.0,360.0,13038.0,8.291148949225342
TAYLOR,106.0,76.0,232.0,496.0,11.0,13.0,150.0,76.0,1160.0,9.137931034482758
TOM GREEN,20.0,40.0,43.0,139.0,0.0,18.0,10.0,0.0,270.0,7.4074074074074066
TOM GREEN COU,23.0,27.0,48.0,103.0,0.0,5.0,7.0,0.0,213.0,10.7981220657277
TRAVIS,3335.0,3129.0,1621.0,700.0,53.0,1449.0,551.0,453.0,11291.0,29.536799220618192
UPSHUR,5.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,35.0,14.285714285714285
UVALDE,20.0,0.0,21.0,11.0,0.0,58.0,0.0,0.0,110.0,18.181818181818183
VAL VERDE,45.0,31.0,46.0,29.0,0.0,103.0,0.0,0.0,254.0,17.716535433070867
VAL VERDE COU,44.0,43.0,52.0,25.0,0.0,87.0,0.0,0.0,251.0,17.52988047808765
VICTORIA,120.0,60.0,96.0,0.0,0.0,75.0,0.0,5.0,356.0,33.70786516853933
WALKER,36.0,25.0,74.0,12.0,0.0,36.0,23.0,12.0,218.0,16.51376146788991
WALLER,70.0,27.0,124.0,10.0,0.0,12.0,0.0,21.0,264.0,26.515151515151516
WASHINGTON,24.0,6.0,59.0,0.0,0.0,6.0,0.0,0.0,95.0,25.263157894736842
WEBB,200.0,410.0,343.0,6.0,0.0,596.0,12.0,26.0,1593.0,12.554927809165099
WHARTON,30.0,9.0,107.0,0.0,0.0,0.0,0.0,0.0,146.0,20.54794520547945
WICHITA,31.0,76.0,99.0,177.0,0.0,0.0,105.0,0.0,488.0,6.352459016393443
WILLIAMSON,1346.0,1226.0,1347.0,638.0,73.0,613.0,399.0,100.0,5742.0,23.4413096482062
WILLIAMSON CO,1198.0,1132.0,1208.0,713.0,68.0,514.0,345.0,139.0,5317.0,22.53150272710175
WILSON,135.0,27.0,124.0,64.0,0.0,139.0,0.0,0.0,489.0,27.607361963190186
ZAPATA,7.0,0.0,5.0,0.0,0.0,18.0,0.0,0.0,30.0,23.333333333333332
ZAVALA,12.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,36.0,33.33333333333333
GRIMES,0.0,10.0,86.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0
LA SALLE,0.0,5.0,0.0,0.0,0.0,13.0,0.0,0.0,18.0,0.0
NACOGDOCHES C,0.0,19.0,34.0,0.0,254.0,0.0,7.0,0.0,314.0,0.0
RUSK,0.0,10.0,16.0,0.0,59.0,0.0,0.0,0.0,85.0,0.0
TITUS,0.0,11.0,35.0,10.0,5.0,0.0,6.0,0.0,67.0,0.0
WASHINGTON CO,0.0,8.0,47.0,5.0,0.0,6.0,0.0,0.0,66.0,0.0
ANDERSON,0.0,0.0,41.0,0.0,23.0,0.0,0.0,0.0,64.0,0.0
BOSQUE,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
BURLESON,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0
CAMP,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
CHEROKEE,0.0,0.0,9.0,0.0,58.0,0.0,0.0,0.0,67.0,0.0
CLAY,0.0,0.0,6.0,17.0,0.0,0.0,5.0,0.0,28.0,0.0
COOKE,0.0,0.0,10.0,31.0,0.0,0.0,57.0,0.0,98.0,0.0
FANNIN,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
FREESTONE COU,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
HENDERSON,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,20.0,0.0
HOPKINS,0.0,0.0,46.0,34.0,7.0,0.0,19.0,0.0,106.0,0.0
HOUSTON,0.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,15.0,0.0
LEON,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
MADISON,0.0,0.0,50.0,0.0,0.0,0.0,0.0,6.0,56.0,0.0
MONTAGUE,0.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,15.0,0.0
NOLAN,0.0,0.0,5.0,33.0,0.0,0.0,0.0,0.0,38.0,0.0
PANOLA,0.0,0.0,29.0,5.0,40.0,0.0,0.0,0.0,74.0,0.0
ROBERTSON,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0
ROBERTSON COU,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
SHELBY,0.0,0.0,5.0,0.0,107.0,0.0,0.0,0.0,112.0,0.0
SOMERVELL,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,21.0,0.0
VAN ZANDT,0.0,0.0,16.0,0.0,12.0,0.0,0.0,0.0,28.0,0.0
VAN ZANDT COU,0.0,0.0,31.0,0.0,7.0,0.0,0.0,0.0,38.0,0.0
WILLACY,0.0,0.0,5.0,0.0,0.0,12.0,0.0,0.0,17.0,0.0
WISE,0.0,0.0,42.0,67.0,0.0,0.0,51.0,0.0,160.0,0.0
WOOD,0.0,0.0,11.0,0.0,8.0,0.0,7.0,0.0,26.0,0.0
ARCHER,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,58.0,0.0
BAILEY,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0
BAYLOR,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0
CALLAHAN,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0
CARSON,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0
CASTRO,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0
CHILDRESS,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,21.0,0.0
COLLINGSWORTH,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0
CROCKETT,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0
DALLAM,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,56.0,0.0
DAWSON,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,38.0,0.0
DEAF SMITH,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,23.0,0.0
DEAF SMITH CO,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0
DONLEY,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0
EASTLAND,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,22.0,0.0
GARZA,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0
GRAY,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,43.0,0.0
HALE,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,161.0,0.0
HAMILTON,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0
HANSFORD,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,33.0,0.0
HARDEMAN,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0
HASKELL,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0
HEMPHILL,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0
HOCKLEY,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,48.0,0.0
HOWARD,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,33.0,0.0
HUTCHINSON,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,21.0,0.0
HUTCHINSON CO,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,19.0,0.0
JACK,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0
JONES,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,22.0,0.0
KIMBLE,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0
LAMB,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0
LYNN,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0
MARTIN,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0
MCCULLOCH COU,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0
MOORE,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,29.0,0.0
OCHILTREE,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0
OCHILTREE COU,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0
OLDHAM,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0
PALO PINTO,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0
PARMER,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0
PECOS,0.0,0.0,0.0,19.0,0.0,27.0,0.0,0.0,46.0,0.0
REAGAN,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0
RUNNELS,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0
SHACKELFORD,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0
SHACKELFORD C,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0
STERLING,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0
TERRY,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0
WARD,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0
WILBARGER,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0
WINKLER,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0
YOUNG,0.0,0.0,0.0,47.0,0.0,0.0,24.0,0.0,71.0,0.0
MARION,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0
NEWTON,0.0,0.0,0.0,0.0,19.0,0.0,0.0,10.0,29.0,0.0
SABINE,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0
SAN AUGUSTINE,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0
TRINITY,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0
TYLER,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,55.0,0.0
BROOKS,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0
DUVAL,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0
JIM HOGG,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0
RAINS,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0
