County,Total_All_Schools,TXST,UT Austin,Texas A&M,Texas Tech,Stephen F. Austin,UTSA,UNT,UH,Has_Data,Dominant_School,Dominant_Enrollment,Dominant_Share,TXST_Market_Share,College_Ready_Rate,TSI_Ready_Rate,Participation_Rate,High_Academic_Performance,Low_TXST_Presence,Large_Market,High_Participation,Prime_Target,Academic_Score,Market_Score,TXST_Gap_Score,Participation_Score,Strategic_Opportunity_Score,Opportunity_Tier
ECTOR,4939.0,67.0,87.0,57.0,246.0,0.0,86.0,52.0,0.0,True,Texas Tech,246.0,4.980765337112776,1.356549908888439,39.166666666666664,45.36666666666667,90.6,True,True,True,True,True,78.33333333333333,71.52995075294417,98.64345009111156,90.6,81.5810085774389,Tier 1: Prime Target
COLLIN,44777.0,969.0,3054.0,3219.0,2713.0,464.0,125.0,3253.0,332.0,True,UNT,3253.0,7.264890457154342,2.164057440203676,30.573333333333338,45.10666666666667,84.38000000000001,True,True,True,True,True,61.14666666666667,90.06903676644329,97.83594255979632,84.38000000000001,79.48456620855892,Tier 1: Prime Target
DENTON,23678.0,448.0,945.0,1427.0,1401.0,218.0,58.0,3551.0,141.0,True,UNT,3551.0,14.99704366922882,1.8920516935551988,27.914285714285715,40.535714285714285,78.80000000000001,True,True,True,True,True,55.82857142857143,84.71064587771635,98.1079483064448,78.80000000000001,75.24621199603244,Tier 1: Prime Target
TRAVIS,26933.0,3335.0,3129.0,1621.0,700.0,53.0,1449.0,551.0,453.0,True,TXST,3335.0,12.382578992314262,12.382578992314262,26.61875,38.53684210526316,84.62105263157895,True,False,True,True,False,53.23749999999999,85.79388959094369,87.61742100768573,84.62105263157895,73.01875634197815,Tier 3: High Performers (TXST Present)
HEMPHILL,186.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,True,Texas Tech,32.0,17.20430107526882,0.0,35.6,47.9,100.0,True,True,False,True,False,71.2,43.99478371875844,100.0,100.0,71.67843511562754,Tier 2: Strong Opportunity
HAYS,6278.0,1466.0,396.0,426.0,254.0,5.0,258.0,93.0,10.0,True,TXST,1466.0,23.351385791653392,23.351385791653392,34.2,45.72,68.03999999999999,True,False,True,False,False,68.4,73.54710377208626,76.6486142083466,68.03999999999999,71.55785397329521,Tier 3: High Performers (TXST Present)
BRAZOS,5170.0,117.0,172.0,1212.0,29.0,41.0,31.0,56.0,11.0,True,Texas A&M,1212.0,23.44294003868472,2.263056092843327,29.65,43.75,63.7,True,True,True,False,True,59.3,71.91430429951751,97.73694390715667,63.7,71.2116800712866,Tier 1: Prime Target
LIVE OAK,350.0,6.0,0.0,12.0,5.0,0.0,7.0,0.0,0.0,True,Texas A&M,12.0,3.428571428571429,1.7142857142857144,37.0,25.55,70.3,True,True,False,True,False,74.0,49.29051205178355,98.28571428571429,70.3,71.07429647267793,Tier 2: Strong Opportunity
TARRANT,55816.0,1081.0,2008.0,2293.0,1943.0,379.0,121.0,4853.0,360.0,True,UNT,4853.0,8.694639529883904,1.9367206535760355,18.885,31.25,87.285,False,True,True,True,False,37.77,91.92232615252345,98.06327934642397,87.285,71.02585371504183,Tier 4: Volume Play
MCMULLEN,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,40.0,45.0,100.0,True,True,False,True,False,80.0,27.718719054118573,100.0,100.0,70.31561571623557,Tier 2: Strong Opportunity
MILAM,742.0,5.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,38.0,5.121293800539084,0.6738544474393532,35.2,54.56,51.84,True,True,False,False,False,70.4,55.59741997723735,99.32614555256065,51.84,69.88845510368334,Tier 2: Strong Opportunity
DAWSON,274.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,True,Texas Tech,38.0,13.86861313868613,0.0,37.03333333333334,40.900000000000006,57.875,True,True,False,False,False,74.06666666666668,47.238290721670815,100.0,57.875,69.58565388316791,Tier 2: Strong Opportunity
HARRIS,145843.0,5386.0,6616.0,7908.0,2462.0,1572.0,2641.0,1081.0,13131.0,True,UH,13131.0,9.003517481126966,3.69301234889573,14.39375,26.821875,82.34848484848484,False,True,True,True,False,28.787499999999998,100.0,96.30698765110427,82.34848484848484,69.01124601506933,Tier 4: Volume Play
WILLIAMSON,13449.0,1346.0,1226.0,1347.0,638.0,73.0,613.0,399.0,100.0,True,Texas A&M,1347.0,10.015614543832257,10.008179046769277,24.372727272727275,41.20909090909091,75.22727272727273,False,False,True,True,False,48.74545454545455,79.953744755651,89.99182095323073,75.22727272727273,69.00539670825054,Tier 5: Maintain/Monitor
DALLAS,77758.0,1021.0,2854.0,2181.0,1483.0,475.0,154.0,5714.0,561.0,True,UNT,5714.0,7.348440031893824,1.3130481751073846,15.56,22.328125,78.83142857142857,False,True,True,True,False,31.120000000000005,94.71061591178835,98.68695182489262,78.83142857142857,68.48171799565789,Tier 4: Volume Play
TAYLOR,5572.0,106.0,76.0,232.0,496.0,11.0,13.0,150.0,76.0,True,Texas Tech,496.0,8.90165111270639,1.9023689877961232,24.6,35.64,74.0,False,True,True,True,False,49.2,72.54395586659071,98.09763101220388,74.0,68.462712962418,Tier 4: Volume Play
LIMESTONE,288.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,6.0,2.083333333333333,1.7361111111111112,36.4,41.166666666666664,44.9,True,True,False,False,False,72.8,47.65590525084617,98.26388888888889,44.9,67.55954935303163,Tier 2: Strong Opportunity
BEXAR,66194.0,2601.0,2290.0,2224.0,1293.0,20.0,9126.0,461.0,285.0,True,UTSA,9126.0,13.786748043629332,3.929359156419011,14.876923076923076,24.876,83.08965517241379,False,True,True,True,False,29.753846153846155,93.35649141027818,96.07064084358099,83.08965517241379,67.4315795705795,Tier 4: Volume Play
KENDALL,2720.0,197.0,122.0,319.0,270.0,0.0,300.0,19.0,5.0,True,Texas A&M,319.0,11.727941176470589,7.24264705882353,26.5,40.3,75.5,True,True,True,True,True,53.0,66.51438150154297,92.75735294117646,75.5,67.25578503869818,Tier 1: Prime Target
FORT BEND,13934.0,699.0,783.0,1047.0,244.0,117.0,464.0,138.0,1909.0,True,UH,1909.0,13.700301420984642,5.016506387254198,18.625,31.9,91.275,False,True,True,True,False,37.25,80.25167311934894,94.9834936127458,91.275,67.09970065835384,Tier 4: Volume Play
RUNNELS,421.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,True,Texas Tech,17.0,4.038004750593824,0.0,29.35,23.575,79.075,True,True,False,True,False,58.70000000000001,50.83983546296006,100.0,79.075,66.63945063888802,Tier 2: Strong Opportunity
GREGG,4276.0,19.0,41.0,138.0,19.0,123.0,0.0,58.0,0.0,True,Texas A&M,138.0,3.2273152478952296,0.4443405051449953,25.8,34.34285714285714,46.0125,True,True,True,False,True,51.6,70.31792423737203,99.555659494855,46.0125,66.2477591701826,Tier 1: Prime Target
LAMAR,1386.0,5.0,0.0,40.0,0.0,6.0,0.0,23.0,0.0,True,Texas A&M,40.0,2.886002886002886,0.3607503607503607,28.799999999999997,34.475,44.475,True,True,False,False,False,57.599999999999994,60.847100403036045,99.63924963924964,44.475,65.66948004876075,Tier 2: Strong Opportunity
LUBBOCK,8674.0,86.0,99.0,92.0,2585.0,0.0,5.0,92.0,7.0,True,Texas Tech,2585.0,29.80170624855891,0.9914687572054416,19.522222222222226,32.12222222222223,70.14444444444445,False,True,True,True,False,39.04444444444445,76.26557839799544,99.00853124279456,70.14444444444445,65.31360199017978,Tier 4: Volume Play
MONTGOMERY,10757.0,542.0,434.0,1021.0,284.0,196.0,117.0,106.0,281.0,True,Texas A&M,1021.0,9.491493910941712,5.038579529608627,19.233333333333334,31.516666666666666,71.76666666666667,False,True,True,True,False,38.46666666666667,78.07549461268476,94.96142047039137,71.76666666666667,64.97826581121703,Tier 4: Volume Play
MCLENNAN,10456.0,151.0,197.0,366.0,152.0,7.0,10.0,263.0,7.0,True,Texas A&M,366.0,3.500382555470543,1.444146901300689,19.383333333333336,32.421052631578945,63.76315789473684,False,True,True,False,False,38.76666666666667,77.83682889077775,98.55585309869932,63.76315789473684,64.94520174311354,Tier 4: Volume Play
OLDHAM,201.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,True,Texas Tech,17.0,8.45771144278607,0.0,30.366666666666664,44.833333333333336,66.85000000000001,True,True,False,False,False,60.73333333333333,44.643708699908586,100.0,66.85000000000001,64.37144594330591,Tier 2: Strong Opportunity
SMITH,7426.0,21.0,94.0,224.0,79.0,139.0,0.0,70.0,0.0,True,Texas A&M,224.0,3.016428763802854,0.2827901966065176,19.91,34.3,58.71,False,True,True,False,False,39.82,74.9592748503515,99.71720980339349,58.71,64.23022441578415,Tier 4: Volume Play
CAMERON,21725.0,537.0,822.0,715.0,69.0,0.0,955.0,57.0,109.0,True,UTSA,955.0,4.395857307249712,2.47180667433832,16.07,27.610000000000003,63.67999999999999,False,True,True,False,False,32.14,83.98670340995756,97.52819332566168,63.67999999999999,63.92564968811961,Tier 4: Volume Play
WICHITA,2896.0,31.0,76.0,99.0,177.0,0.0,0.0,105.0,0.0,True,Texas Tech,177.0,6.111878453038674,1.0704419889502763,22.74,33.18,56.279999999999994,False,True,True,False,False,45.48,67.04150274110397,98.92955801104972,56.279999999999994,63.71836242454114,Tier 4: Volume Play
NUECES,11131.0,319.0,348.0,436.0,88.0,0.0,544.0,24.0,62.0,True,UTSA,544.0,4.887251819243554,2.865870092534363,17.772727272727273,27.0,65.52727272727273,False,True,True,False,False,35.54545454545455,78.36290704468375,97.13412990746563,65.52727272727273,63.70660718580735,Tier 4: Volume Play
PARKER,4257.0,58.0,78.0,235.0,300.0,12.0,0.0,114.0,0.0,True,Texas Tech,300.0,7.047216349541931,1.3624618275781066,20.642857142857142,40.857142857142854,60.175,False,True,True,False,False,41.285714285714285,70.2804797199427,98.6375381724219,60.175,63.34343726475291,Tier 4: Volume Play
COMAL,6862.0,1136.0,282.0,632.0,429.0,5.0,534.0,70.0,22.0,True,TXST,1136.0,16.554940250655786,16.554940250655786,19.6,36.55,86.25,False,False,True,True,False,39.2,74.29505786387334,83.44505974934421,86.25,63.28252930903084,Tier 5: Maintain/Monitor
BRAZORIA,15009.0,577.0,511.0,967.0,172.0,177.0,292.0,119.0,1370.0,True,UH,1370.0,9.127856619361715,3.844360050636285,16.7,28.6,62.51428571428572,False,True,True,False,False,33.4,80.87666180326617,96.15563994936372,62.51428571428572,63.10555510228117,Tier 4: Volume Play
GALVESTON,9107.0,409.0,377.0,636.0,178.0,103.0,134.0,67.0,626.0,True,Texas A&M,636.0,6.983638959042494,4.491050840013177,17.1125,27.48888888888889,69.55555555555556,False,True,True,False,False,34.225,76.67522198742743,95.50894915998683,69.55555555555556,62.74991198378115,Tier 4: Volume Play
GRAYSON,3926.0,40.0,6.0,71.0,76.0,0.0,0.0,84.0,0.0,True,UNT,84.0,2.139582272032603,1.0188487009679064,19.32307692307692,31.93076923076923,65.16153846153847,False,True,True,False,False,38.64615384615384,69.599892689921,98.98115129903209,65.16153846153847,62.6508134513981,Tier 4: Volume Play
HOCKLEY,905.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,True,Texas Tech,48.0,5.303867403314917,0.0,21.75,33.82,80.36,False,True,False,True,False,43.5,57.26553079718113,100.0,80.36,62.61565923915434,Tier 5: Maintain/Monitor
MASON,199.0,5.0,0.0,10.0,35.0,0.0,0.0,0.0,0.0,True,Texas Tech,35.0,17.587939698492463,2.512562814070352,25.0,43.8,92.3,True,True,False,True,False,50.0,44.56002421046694,97.48743718592965,92.3,62.095494700326014,Tier 2: Strong Opportunity
HALL,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,33.3,22.9,47.45,True,True,False,False,False,66.6,35.3623975227635,100.0,47.45,61.993719256829046,Tier 2: Strong Opportunity
BELL,10585.0,546.0,330.0,527.0,203.0,65.0,345.0,210.0,74.0,True,TXST,546.0,5.158242796410014,5.158242796410014,16.333333333333332,30.410000000000004,65.075,False,True,True,False,False,32.666666666666664,77.93994462550481,94.84175720358999,65.075,61.924501495036104,Tier 4: Volume Play
JEFFERSON,3206.0,75.0,55.0,101.0,0.0,30.0,0.0,0.0,61.0,True,Texas A&M,101.0,3.1503431066749847,2.3393636930754833,19.1,29.5875,66.875,False,True,True,False,False,38.2,67.89648758734337,97.66063630692452,66.875,61.86857353758792,Tier 4: Volume Play
FRANKLIN,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,28.6,42.9,40.8,True,True,False,False,False,57.2,49.14550463546596,100.0,40.8,61.70365139063979,Tier 2: Strong Opportunity
WEBB,14937.0,200.0,410.0,343.0,6.0,0.0,596.0,12.0,26.0,True,UTSA,596.0,3.990091718551249,1.338956952533976,16.73333333333333,33.699999999999996,41.65,False,True,True,False,False,33.46666666666666,80.83622256617844,98.66104304746602,41.65,61.5347420460134,Tier 4: Volume Play
POTTER,6744.0,14.0,107.0,107.0,381.0,0.0,0.0,51.0,0.0,True,Texas Tech,381.0,5.649466192170818,0.2075919335705812,14.933333333333332,25.3,73.8,False,True,True,True,False,29.866666666666664,74.1491979216031,99.79240806642942,73.8,61.52990765643349,Tier 4: Volume Play
GILLESPIE,364.0,24.0,5.0,42.0,38.0,0.0,15.0,0.0,0.0,True,Texas A&M,42.0,11.538461538461538,6.593406593406594,26.950000000000003,45.0,63.65,True,True,False,False,False,53.900000000000006,49.619445330846645,93.4065934065934,63.65,61.492152280572675,Tier 2: Strong Opportunity
ROCKWALL,4660.0,130.0,145.0,288.0,370.0,131.0,11.0,307.0,0.0,True,Texas Tech,370.0,7.939914163090128,2.7896995708154506,14.7,29.95,89.75,False,True,True,True,False,29.4,71.04101986949465,97.21030042918454,89.75,61.48936604668531,Tier 4: Volume Play
BOWIE,2300.0,10.0,30.0,22.0,5.0,19.0,0.0,40.0,0.0,True,UNT,40.0,1.7391304347826086,0.4347826086956521,16.555555555555557,20.077777777777776,87.76666666666667,False,True,True,True,False,33.111111111111114,65.104360309835,99.56521739130434,87.76666666666667,61.465462682322496,Tier 4: Volume Play
EASTLAND,478.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,True,Texas Tech,22.0,4.602510460251046,0.0,25.266666666666666,47.26666666666667,55.2,True,True,False,False,False,50.53333333333333,51.90537089694178,100.0,55.2,61.30494460241587,Tier 2: Strong Opportunity
YOUNG,547.0,0.0,0.0,0.0,47.0,0.0,0.0,24.0,0.0,True,Texas Tech,47.0,8.592321755027422,0.0,23.5,43.93333333333334,64.63333333333334,False,True,False,False,False,47.0,53.037173884386505,100.0,64.63333333333334,61.17448549864929,Tier 5: Maintain/Monitor
CORYELL,1530.0,103.0,27.0,77.0,11.0,6.0,60.0,15.0,0.0,True,TXST,103.0,6.73202614379085,6.73202614379085,22.6,35.025,58.35999999999999,False,True,False,False,False,45.2,61.67784508445669,93.26797385620915,58.35999999999999,61.07294829657884,Tier 5: Maintain/Monitor
BOSQUE,440.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,5.0,1.1363636363636365,0.0,21.3,29.18,86.08571428571429,False,True,False,True,False,42.6,51.210217942325144,100.0,86.08571428571429,61.01163681126898,Tier 5: Maintain/Monitor
HARRISON,3480.0,29.0,42.0,83.0,24.0,122.0,0.0,60.0,17.0,True,Stephen F. Austin,122.0,3.505747126436782,0.8333333333333334,18.24,24.96,59.1,False,True,True,False,False,36.48,68.585988588261,99.16666666666667,59.1,60.911129909811635,Tier 4: Volume Play
WILBARGER,170.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,True,Texas Tech,16.0,9.411764705882351,0.0,22.933333333333337,25.6,94.4,False,True,False,True,False,45.866666666666674,43.24253092243618,100.0,94.4,60.75942594339753,Tier 5: Maintain/Monitor
ARCHER,506.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,True,Texas Tech,58.0,11.462450592885377,0.0,20.566666666666663,35.9,85.2,False,True,False,True,False,41.133333333333326,52.38315901336949,100.0,85.2,60.688281037344176,Tier 5: Maintain/Monitor
HOWARD,761.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,True,Texas Tech,33.0,4.336399474375821,0.0,24.85,27.633333333333336,40.25,False,True,False,False,False,49.7,55.809782375006165,100.0,40.25,60.64793471250185,Tier 5: Maintain/Monitor
SAN SABA,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,23.7,20.7,91.66666666666669,False,True,False,True,False,47.4,41.500020235571164,100.0,91.66666666666669,60.57667273733802,Tier 5: Maintain/Monitor
HAMILTON,263.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,True,Texas Tech,5.0,1.9011406844106464,0.0,25.4,32.7,61.35,True,True,False,False,False,50.8,46.894968693506364,100.0,61.35,60.52349060805191,Tier 2: Strong Opportunity
EL PASO,38033.0,342.0,782.0,320.0,803.0,0.0,363.0,127.0,17.0,True,Texas Tech,803.0,2.111324376199616,0.8992190992033234,7.56,16.06,80.08333333333333,False,True,True,True,False,15.120000000000001,88.69618200925046,99.10078090079668,80.08333333333333,60.48534411626781,Tier 4: Volume Play
HIDALGO,46824.0,928.0,1288.0,1602.0,140.0,5.0,1515.0,43.0,123.0,True,Texas A&M,1602.0,3.421322398769862,1.9818896292499573,7.44375,11.411764705882351,76.57777777777778,False,True,True,True,False,14.887499999999998,90.4449762119076,98.01811037075004,76.57777777777778,60.34989271550007,Tier 4: Volume Play
KERR,1054.0,84.0,44.0,73.0,62.0,0.0,58.0,7.0,0.0,True,TXST,84.0,7.969639468690702,7.969639468690702,19.35,23.46666666666667,87.66666666666667,False,True,False,True,False,38.7,58.54604374975062,92.0303605313093,87.66666666666667,60.21655189785371,Tier 5: Maintain/Monitor
BROWN,1051.0,16.0,0.0,41.0,21.0,0.0,0.0,0.0,0.0,True,Texas A&M,41.0,3.9010466222645097,1.5223596574690772,20.75,29.7,63.4,False,True,False,False,False,41.5,58.52209435967488,98.47764034253092,63.4,60.19215637640865,Tier 5: Maintain/Monitor
RANDALL,2084.0,13.0,13.0,36.0,218.0,0.0,0.0,18.0,0.0,True,Texas Tech,218.0,10.460652591170826,0.6238003838771593,14.2,30.7,95.7,False,True,True,True,False,28.4,64.27532306777842,99.37619961612285,95.7,60.087836843558094,Tier 4: Volume Play
WOOD,1061.0,0.0,0.0,11.0,0.0,8.0,0.0,7.0,0.0,True,Texas A&M,11.0,1.0367577756833175,0.0,20.733333333333334,31.85,55.81666666666666,False,True,False,False,False,41.46666666666667,58.60166185758672,100.0,55.81666666666666,59.74883189060935,Tier 5: Maintain/Monitor
COLLINGSWORTH,110.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,True,Texas Tech,5.0,4.545454545454546,0.0,25.9,29.6,71.1,True,True,False,True,False,51.800000000000004,39.60819355884091,100.0,71.1,59.71245806765228,Tier 2: Strong Opportunity
BANDERA,315.0,23.0,0.0,12.0,12.0,0.0,22.0,0.0,0.0,True,TXST,23.0,7.301587301587302,7.301587301587302,25.85,29.4,59.45,True,True,False,False,False,51.7,48.407068630118474,92.6984126984127,59.45,59.68680312871809,Tier 2: Strong Opportunity
PANOLA,932.0,0.0,0.0,29.0,5.0,40.0,0.0,0.0,0.0,True,Stephen F. Austin,40.0,4.291845493562231,0.0,19.424999999999997,20.45,67.175,False,True,False,False,False,38.849999999999994,57.512504485791446,100.0,67.175,59.511251345737435,Tier 5: Maintain/Monitor
HUNT,2344.0,6.0,5.0,6.0,18.0,11.0,0.0,90.0,0.0,True,UNT,90.0,3.839590443686007,0.2559726962457337,17.58,27.79,58.25,False,True,True,False,False,35.16,65.26366329005427,99.74402730375427,58.25,59.41690444776714,Tier 4: Volume Play
AUSTIN,1228.0,41.0,0.0,130.0,11.0,0.0,7.0,0.0,0.0,True,Texas A&M,130.0,10.586319218241044,3.3387622149837135,18.433333333333337,37.63333333333333,69.10000000000001,False,True,False,False,False,36.866666666666674,59.82994874483944,96.66123778501628,69.10000000000001,58.937898847121765,Tier 5: Maintain/Monitor
CALLAHAN,394.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,True,Texas Tech,18.0,4.568527918781726,0.0,19.766666666666666,23.55,80.125,False,True,False,True,False,39.53333333333333,50.28375538953188,100.0,80.125,58.910959950192904,Tier 5: Maintain/Monitor
TITUS,1308.0,0.0,11.0,35.0,10.0,5.0,0.0,6.0,0.0,True,Texas A&M,35.0,2.675840978593272,0.0,19.23333333333333,30.566666666666663,53.666666666666664,False,True,False,False,False,38.46666666666666,60.36031967188148,100.0,53.666666666666664,58.86142923489778,Tier 5: Maintain/Monitor
