County,TXST_Enrollment,Total_Enrollment,TXST_Market_Share
CALDWELL,185.0,773.0,23.93272962483829
HAYS,1466.0,6278.0,23.351385791653392
COMAL,1136.0,6862.0,16.554940250655786
BASTROP,365.0,2282.0,15.994741454864153
GUADALUPE COU,383.0,2508.0,15.271132376395535
GUADALUPE,393.0,2604.0,15.092165898617512
GONZALES,66.0,502.0,13.147410358565736
BLANCO,52.0,410.0,12.682926829268293
TRAVIS,3335.0,26933.0,12.382578992314262
WILLIAMSON,1346.0,13449.0,10.008179046769277
WILLIAMSON CO,1198.0,13041.0,9.186412084962809
GILLESPIE COU,27.0,332.0,8.132530120481928
KERR,84.0,1054.0,7.969639468690702
LAMPASAS,48.0,604.0,7.9470198675496695
LAVACA,40.0,526.0,7.604562737642586
WILSON,135.0,1798.0,7.508342602892102
DEWITT,52.0,701.0,7.417974322396577
BANDERA,23.0,315.0,7.301587301587302
KENDALL,197.0,2720.0,7.24264705882353
ARANSAS,34.0,471.0,7.218683651804671
GOLIAD,20.0,278.0,7.194244604316546
LLANO,21.0,305.0,6.885245901639345
CORYELL,103.0,1530.0,6.73202614379085
GILLESPIE,24.0,364.0,6.593406593406594
VICTORIA,120.0,1969.0,6.094464195022854
BURNET,62.0,1068.0,5.805243445692884
VAL VERDE COU,44.0,840.0,5.238095238095238
BELL,546.0,10585.0,5.158242796410014
VAL VERDE,45.0,887.0,5.0732807215332585
MONTGOMERY,542.0,10757.0,5.038579529608627
FORT BEND,699.0,13934.0,5.016506387254198
KARNES,19.0,387.0,4.909560723514212
MEDINA,91.0,1863.0,4.884594739667204
WALLER,70.0,1505.0,4.651162790697675
MONTGOMERY CO,435.0,9422.0,4.616854171088941
WASHINGTON,24.0,531.0,4.519774011299435
GALVESTON,409.0,9107.0,4.491050840013177
BREWSTER,9.0,208.0,4.326923076923077
GALVESTON COU,373.0,8886.0,4.197614224623003
BEXAR,2601.0,66194.0,3.929359156419011
DIMMIT,17.0,433.0,3.9260969976905313
FORT BEND COU,544.0,13868.0,3.9226997404095765
CALHOUN,23.0,591.0,3.8917089678511
MAVERICK,132.0,3396.0,3.8869257950530036
BRAZORIA,577.0,15009.0,3.844360050636285
CHAMBERS,75.0,2023.0,3.7073652990608013
HARRIS,5386.0,145843.0,3.69301234889573
SAN PATRICIO,85.0,2372.0,3.583473861720068
HOOD,48.0,1392.0,3.4482758620689653
HARDIN,67.0,1978.0,3.3872598584428717
AUSTIN,41.0,1228.0,3.3387622149837135
ATASCOSA,43.0,1345.0,3.197026022304833
ELLIS,222.0,7393.0,3.0028405248207766
SCURRY,14.0,477.0,2.9350104821802936
NUECES,319.0,11131.0,2.8658700925343634
MATAGORDA,19.0,665.0,2.857142857142857
ROCKWALL,130.0,4660.0,2.7896995708154506
COLORADO,21.0,761.0,2.759526938239159
SOMERVELL COU,5.0,182.0,2.7472527472527473
JIM WELLS COU,16.0,587.0,2.72572402044293
SUTTON,5.0,193.0,2.5906735751295336
ZAVALA,12.0,471.0,2.547770700636943
HENDERSON COU,19.0,749.0,2.53671562082777
MASON,5.0,199.0,2.512562814070352
FRIO,9.0,360.0,2.5
CAMERON,537.0,21725.0,2.47180667433832
JEFFERSON,75.0,3206.0,2.3393636930754833
JEFFERSON COU,74.0,3207.0,2.307452447770502
UVALDE,20.0,867.0,2.306805074971165
BRAZOS,117.0,5170.0,2.263056092843327
COLLIN,969.0,44777.0,2.164057440203676
FAYETTE,15.0,716.0,2.094972067039106
WALKER,36.0,1727.0,2.0845396641574987
HIDALGO,928.0,46824.0,1.9818896292499573
TARRANT,1081.0,55816.0,1.9367206535760355
TAYLOR,106.0,5572.0,1.9023689877961234
DENTON,448.0,23678.0,1.8920516935551988
JIM WELLS,12.0,652.0,1.8404907975460123
JOHNSON,108.0,6080.0,1.776315789473684
LIMESTONE,5.0,288.0,1.7361111111111112
LIVE OAK,6.0,350.0,1.7142857142857144
KAUFMAN,94.0,5505.0,1.7075386012715712
LIMESTONE COU,5.0,299.0,1.6722408026755853
JACKSON,12.0,723.0,1.6597510373443984
WHARTON,30.0,1830.0,1.639344262295082
MIDLAND,68.0,4221.0,1.610992655768775
BROWN,16.0,1051.0,1.5223596574690772
TOM GREEN COU,23.0,1533.0,1.5003261578604044
BEE,12.0,801.0,1.4981273408239701
REEVES,5.0,335.0,1.4925373134328357
ANGELINA,50.0,3378.0,1.4801657785671996
MORRIS,5.0,345.0,1.4492753623188406
MCLENNAN,151.0,10456.0,1.4441469013006887
ORANGE,35.0,2535.0,1.3806706114398422
PARKER,58.0,4257.0,1.3624618275781066
ECTOR,67.0,4939.0,1.356549908888439
WEBB,200.0,14937.0,1.338956952533976
DALLAS,1021.0,77758.0,1.3130481751073846
KLEBERG,13.0,1012.0,1.2845849802371543
NACOGDOCHES,11.0,887.0,1.2401352874859075
ERATH,36.0,2998.0,1.200800533689126
LEE,6.0,501.0,1.1976047904191618
GAINES,5.0,425.0,1.1764705882352942
TOM GREEN,20.0,1737.0,1.1514104778353482
ZAPATA,7.0,639.0,1.0954616588419406
WICHITA,31.0,2896.0,1.0704419889502763
GRAYSON,40.0,3926.0,1.0188487009679064
JASPER,10.0,987.0,1.0131712259371835
LUBBOCK,86.0,8674.0,0.9914687572054416
MATAGORDA COU,6.0,654.0,0.9174311926605505
EL PASO,342.0,38033.0,0.8992190992033234
ANDREWS,5.0,562.0,0.8896797153024912
LIBERTY,20.0,2274.0,0.8795074758135445
HARRISON,29.0,3480.0,0.8333333333333334
CASS,6.0,855.0,0.7017543859649122
MILAM,5.0,742.0,0.6738544474393532
RANDALL,13.0,2084.0,0.6238003838771593
HILL,6.0,977.0,0.6141248720573182
POLK,5.0,853.0,0.5861664712778429
NAVARRO,10.0,1813.0,0.5515719801434087
STARR,19.0,3627.0,0.5238489109456851
GREGG,19.0,4276.0,0.4443405051449953
BOWIE,10.0,2300.0,0.43478260869565216
UPSHUR,5.0,1277.0,0.39154267815191857
LAMAR,5.0,1386.0,0.36075036075036077
SMITH,21.0,7426.0,0.28279019660651766
HUNT,6.0,2344.0,0.25597269624573377
POTTER,14.0,6744.0,0.20759193357058123
